"Time"	"0 Channel 1"	"Time"	"1 Channel 2"	"Time"	"2 Channel 3"
0.0011744398	-39.670311	0.0011744398	-41.460133	0.0011744398	-50.853516
0.0022944398	-39.65625	0.0022944398	-41.375317	0.0022944398	-50.756836
0.0034144398	-39.778126	0.0034144398	-41.464844	0.0034144398	-50.660156
0.0045344398	-39.84375	0.0045344398	-41.460133	0.0045344398	-50.853516
0.0056544398	-39.909374	0.0056544398	-41.82766	0.0056544398	-50.853516
0.0067744398	-39.857811	0.0067744398	-41.559082	0.0067744398	-50.756836
0.0078944398	-39.923439	0.0078944398	-41.65332	0.0078944398	-50.756836
0.0090144398	-39.84375	0.0090144398	-41.559082	0.0090144398	-50.660156
0.01013444	-40.017189	0.01013444	-41.559082	0.01013444	-50.660156
0.01125444	-40.03125	0.01125444	-41.658031	0.01125444	-50.563477
0.01237444	-40.190624	0.01237444	-41.931324	0.01237444	-50.756836
0.01349444	-40.03125	0.01349444	-41.936035	0.01349444	-50.853516
0.01461444	-40.03125	0.01461444	-42.020851	0.01461444	-50.756836
0.01573444	-40.204689	0.01573444	-42.209328	0.01573444	-50.660156
0.01685444	-40.21875	0.01685444	-42.298851	0.01685444	-50.853516
0.01797444	-40.298439	0.01797444	-42.397804	0.01797444	-51.046875
0.01909444	-40.232811	0.01909444	-42.312988	0.01909444	-50.950195
0.02021444	-40.204689	0.02021444	-42.407227	0.02021444	-50.950195
0.02133444	-40.392189	0.02133444	-42.586281	0.02133444	-50.853516
0.02245444	-40.5	0.02245444	-42.416649	0.02245444	-51.046875
0.02357444	-40.5	0.02357444	-42.501465	0.02357444	-51.046875
0.02469444	-40.514061	0.02469444	-42.506176	0.02469444	-50.950195
0.02581444	-40.5	0.02581444	-42.402515	0.02581444	-50.853516
0.02693444	-40.59375	0.02693444	-42.496754	0.02693444	-50.950195
0.02805444	-40.940624	0.02805444	-42.680519	0.02805444	-50.853516
0.02917444	-40.875	0.02917444	-42.595703	0.02917444	-51.046875
0.03029444	-40.954689	0.03029444	-42.595703	0.03029444	-50.950195
0.03141444	-40.715626	0.03141444	-42.595703	0.03141444	-50.853516
0.03253444	-41.048439	0.03253444	-42.68523	0.03253444	-50.853516
0.03365444	-41.0625	0.03365444	-42.868996	0.03365444	-50.950195
0.03477444	-40.96875	0.03477444	-42.883129	0.03477444	-51.143555
0.03589444	-40.889061	0.03589444	-42.873707	0.03589444	-51.046875
0.03701444	-41.114063	0.03701444	-42.963234	0.03701444	-50.950195
0.03813444	-41.235939	0.03813444	-42.878418	0.03813444	-51.143555
0.03925444	-41.264061	0.03925444	-42.878418	0.03925444	-51.046875
0.04037444	-41.264061	0.04037444	-42.967945	0.04037444	-51.046875
0.04149444	-41.15625	0.04149444	-42.883129	0.04149444	-50.950195
0.04261444	-41.315624	0.04261444	-42.689941	0.04261444	-50.853516
0.04373444	-41.4375	0.04373444	-42.779469	0.04373444	-50.950195
0.04485444	-41.4375	0.04485444	-42.883129	0.04485444	-51.143555
0.04597444	-41.53125	0.04597444	-42.878418	0.04597444	-50.950195
0.04709444	-41.53125	0.04709444	-42.963234	0.04709444	-51.046875
0.04821444	-41.53125	0.04821444	-42.883129	0.04821444	-51.046875
0.04933444	-41.690624	0.04933444	-42.963234	0.04933444	-51.046875
0.05045444	-41.704689	0.05045444	-43.062183	0.05045444	-51.143555
0.05157444	-41.559376	0.05157444	-43.161133	0.05157444	-51.143555
0.05269444	-41.704689	0.05269444	-42.972656	0.05269444	-51.046875
0.05381444	-41.71875	0.05381444	-43.066895	0.05381444	-50.950195
0.05493444	-41.798439	0.05493444	-43.156422	0.05493444	-51.046875
0.05605444	-41.985939	0.05605444	-43.066895	0.05605444	-51.143555
0.05717444	-41.90625	0.05717444	-43.066895	0.05717444	-51.143555
0.05829444	-41.920311	0.05829444	-43.066895	0.05829444	-51.046875
0.05941444	-41.90625	0.05941444	-42.967945	0.05941444	-50.950195
0.06053444	-42.079689	0.06053444	-42.873707	0.06053444	-50.950195
0.06165444	-42	0.06165444	-42.972656	0.06165444	-50.950195
0.06277444	-42.1875	0.06277444	-42.977367	0.06277444	-50.950195
0.06389444	-42.014061	0.06389444	-42.972656	0.06389444	-50.950195
0.06501444	-42.079689	0.06501444	-43.066895	0.06501444	-50.853516
0.06613444	-42.173439	0.06613444	-42.972656	0.06613444	-50.853516
0.06725444	-42.201561	0.06725444	-43.241234	0.06725444	-51.143555
0.06837444	-42.107811	0.06837444	-43.161133	0.06837444	-51.046875
0.06949444	-42.267189	0.06949444	-43.241234	0.06949444	-51.046875
0.07061444	-42.267189	0.07061444	-43.245949	0.07061444	-51.046875
0.07173444	-42.28125	0.07173444	-42.982079	0.07173444	-51.143555
0.07285444	-42.375	0.07285444	-43.071606	0.07285444	-51.143555
0.07397444	-42.201561	0.07397444	-43.066895	0.07397444	-51.046875
0.07509444	-42.295311	0.07509444	-42.793602	0.07509444	-51.046875
0.07621444	-42.28125	0.07621444	-42.779469	0.07621444	-50.950195
0.07733444	-42.440624	0.07733444	-42.873707	0.07733444	-50.950195
0.07845444	-42.295311	0.07845444	-42.774757	0.07845444	-51.046875
0.07957444	-42.389061	0.07957444	-42.793602	0.07957444	-50.950195
0.08069444	-42.28125	0.08069444	-42.60984	0.08069444	-50.756836
0.08181444	-42.360939	0.08181444	-42.878418	0.08181444	-51.046875
0.08293444	-42.375	0.08293444	-42.878418	0.08293444	-51.046875
0.08405444	-42.389061	0.08405444	-42.967945	0.08405444	-51.240234
0.08517444	-42.295311	0.08517444	-42.972656	0.08517444	-51.143555
0.08629444	-42.215626	0.08629444	-42.967945	0.08629444	-51.336914
0.08741444	-42.346874	0.08741444	-42.788891	0.08741444	-51.143555
0.08853444	-42.360939	0.08853444	-42.78418	0.08853444	-51.143555
0.08965444	-42.375	0.08965444	-42.788891	0.08965444	-51.143555
0.09077444	-42.28125	0.09077444	-42.873707	0.09077444	-51.143555
0.09189444	-42.267189	0.09189444	-42.600414	0.09189444	-50.950195
0.09301444	-42.360939	0.09301444	-42.411938	0.09301444	-50.853516
0.09413444	-42.215626	0.09413444	-42.600414	0.09413444	-51.046875
0.09525444	-42.215626	0.09525444	-42.689941	0.09525444	-51.046875
0.09637444	-42.014061	0.09637444	-42.595703	0.09637444	-51.046875
0.09749444	-41.746876	0.09749444	-42.595703	0.09749444	-50.756836
0.09861444	-41.71875	0.09861444	-42.595703	0.09861444	-50.950195
0.09973444	-41.8125	0.09973444	-42.496754	0.09973444	-50.950195
0.10085444	-41.559376	0.10085444	-42.78418	0.10085444	-51.046875
0.10197444	-41.53125	0.10197444	-42.78418	0.10197444	-51.143555
0.10309444	-41.371876	0.10309444	-42.421364	0.10309444	-51.046875
0.10421444	-41.4375	0.10421444	-42.68523	0.10421444	-50.950195
0.10533444	-41.4375	0.10533444	-42.506176	0.10533444	-50.950195
0.10645444	-41.4375	0.10645444	-42.68523	0.10645444	-51.143555
0.10757444	-41.34375	0.10757444	-42.501465	0.10757444	-51.046875
0.10869444	-41.184376	0.10869444	-42.407227	0.10869444	-50.853516
0.10981444	-41.34375	0.10981444	-42.223461	0.10981444	-50.756836
0.11093444	-41.409374	0.11093444	-42.407227	0.11093444	-50.853516
0.11205444	-41.4375	0.11205444	-42.411938	0.11205444	-50.950195
0.11317444	-41.264061	0.11317444	-42.322411	0.11317444	-50.853516
