"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
4493.6824	-58.299961	-46.893974	-48.03735	-50.125431
4493.6829	-58.241955	-46.909557	-47.984436	-50.252674
4493.6834	-58.240746	-47.071785	-47.975143	-50.470802
4493.6839	-58.362804	-46.904362	-47.696022	-50.501095
4493.6845	-58.198448	-46.92514	-47.852749	-50.507156
4493.685	-58.290295	-46.84922	-47.778427	-50.422329
4493.6855	-58.156151	-47.011452	-47.809528	-50.507156
4493.686	-58.104187	-47.045811	-47.68552	-50.264793
4493.6866	-58.319298	-46.935528	-47.82811	-50.343559
4493.6871	-58.344677	-46.949913	-47.984432	-50.39809
4493.6876	-58.351929	-46.615868	-47.773579	-50.234497
4493.6882	-58.225037	-47.056202	-47.753788	-50.367798
4493.6887	-58.289085	-46.910355	-47.714199	-50.422329
4493.6892	-58.380932	-47.048611	-47.639469	-50.240555
4493.6897	-58.277	-47.126526	-47.975548	-50.270851
4493.6902	-58.382141	-47.097755	-48.112888	-50.616219
4493.6908	-58.357971	-46.989071	-47.963024	-50.482918
4493.6913	-58.212952	-46.718559	-47.764694	-50.446564
4493.6918	-58.243164	-47.013046	-47.543739	-50.54351
4493.6923	-58.210533	-46.985077	-47.629372	-50.646515
4493.6929	-58.145275	-46.85841	-47.536869	-50.488979
4493.6934	-58.238327	-47.028629	-47.556664	-50.252674
4493.6939	-58.545288	-47.030228	-47.38903	-50.228436
4493.6945	-58.523533	-46.800076	-47.399128	-50.41021
4493.695	-58.27821	-46.694183	-47.378525	-50.101196
4493.6955	-58.440147	-46.721355	-47.206448	-49.925484
4493.696	-58.223827	-46.83004	-47.175346	-50.095139
4493.6965	-58.34951	-46.826443	-47.384586	-49.961838
4493.6971	-58.388184	-47.127728	-47.206852	-50.143608
4493.6976	-58.260082	-46.299004	-47.290066	-49.780064
4493.6981	-58.383347	-46.842426	-47.103039	-50.246613
4493.6986	-58.499363	-47.01984	-47.418114	-50.00425
4493.6992	-58.5187	-46.794476	-47.387413	-50.252674
4493.6997	-58.431686	-46.911953	-47.279964	-50.125431
4493.7002	-58.414768	-46.809662	-47.407207	-50.173904
4493.7008	-58.266125	-46.930336	-47.250481	-49.992134
4493.7013	-58.335007	-46.989872	-47.506577	-50.125431
4493.7018	-58.168236	-46.875992	-47.114349	-50.252674
4493.7023	-58.289085	-46.850819	-47.346615	-50.125431
4493.7028	-58.476402	-46.765709	-47.371658	-50.161789
4493.7034	-58.435314	-46.776497	-47.142628	-50.210258
4493.7039	-58.362804	-46.173538	-47.165649	-50.355679
4493.7044	-58.383347	-46.331768	-47.337326	-49.943661
4493.7049	-58.261292	-46.357342	-47.357117	-50.28297
4493.7055	-58.204491	-46.2071	-47.193523	-50.083019
4493.706	-58.382141	-46.000519	-47.000439	-50.095139
4493.7065	-58.539246	-46.193512	-47.757019	-50.064842
4493.7071	-58.218994	-46.102013	-47.562321	-49.913364
4493.7076	-58.291504	-46.038479	-47.450829	-50.270851
4493.7081	-58.312046	-45.760376	-47.23634	-50.192081
4493.7086	-58.258873	-45.807922	-47.273098	-50.113316
4493.7091	-58.309631	-45.767967	-47.136566	-50.052723
4493.7097	-58.330173	-45.518631	-47.09819	-49.81036
4493.7102	-58.30238	-45.635307	-47.069515	-49.737652
4493.7107	-58.396641	-45.493855	-47.138988	-49.87701
4493.7112	-58.37368	-45.393562	-46.961258	-49.61647
4493.7118	-58.429272	-45.342415	-46.942677	-49.567997
4493.7123	-58.629883	-45.484669	-47.122829	-49.792183
4493.7128	-58.443771	-45.349606	-47.113541	-49.792183
4493.7134	-58.163403	-45.070705	-46.924095	-49.555878
4493.7139	-58.402683	-45.168999	-46.822304	-49.695236
4493.7144	-58.505405	-45.020756	-46.937019	-49.525585
4493.7149	-58.440147	-45.043133	-46.919651	-49.658882
4493.7154	-58.378513	-45.000778	-47.050529	-49.949718
4493.716	-58.198448	-44.868916	-47.003265	-49.87701
4493.7165	-58.339844	-44.9828	-47.06628	-49.713417
4493.717	-58.434105	-44.958023	-46.941059	-49.949718
4493.7175	-58.460693	-44.888496	-46.956814	-49.767948
4493.7181	-58.464317	-45.275288	-46.852192	-49.949718
4493.7186	-58.430481	-45.057117	-46.772213	-49.780064
4493.7191	-58.281834	-44.7934	-46.841286	-49.95578
4493.7197	-58.246788	-44.764629	-46.848156	-49.804302
4493.7202	-58.348301	-44.987591	-46.710815	-49.883068
4493.7207	-58.310837	-45.003574	-46.611042	-49.634647
4493.7212	-58.299961	-44.757435	-46.588421	-49.707355
4493.7217	-58.214157	-44.818172	-46.61306	-49.774006
4493.7223	-58.284252	-44.930054	-46.722126	-49.943661
4493.7228	-58.225037	-44.993587	-46.817051	-49.798241
4493.7233	-58.412354	-45.081493	-46.766155	-50.016369
4493.7238	-58.333801	-45.059517	-46.693443	-50.089077
4493.7244	-58.199657	-44.85054	-46.704758	-49.901245
4493.7249	-58.285461	-44.841347	-46.771004	-50.125431
4493.7254	-58.434105	-45.155014	-46.917229	-50.555626
4493.726	-58.328964	-45.194176	-46.78595	-50.113316
4493.7265	-58.208115	-45.044331	-46.678501	-49.992134
4493.727	-58.370056	-45.072704	-46.765347	-49.531643
4493.7275	-58.507824	-45.008369	-46.623158	-49.677059
4493.728	-58.400269	-44.964417	-46.567417	-49.701298
4493.7286	-58.440147	-44.978401	-46.620331	-49.980015
4493.7291	-58.187572	-45.063511	-46.692234	-49.74371
4493.7296	-58.177902	-44.884903	-46.691425	-49.410461
