"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
3308.961	-39.971954	-47.401093	-45.255344	-31.691381
3308.9616	-40.211308	-47.412888	-45.469711	-31.491844
3308.9622	-40.211308	-47.636978	-45.49353	-31.257093
3308.9627	-40.211308	-47.648773	-45.49353	-30.822802
3308.9633	-40.211308	-47.648773	-45.49353	-30.3533
3308.9638	-40.211308	-47.648773	-45.49353	-30.083338
3308.9644	-39.971954	-47.424683	-45.49353	-29.649048
3308.965	-39.971954	-47.636978	-45.49353	-29.179546
3308.9655	-39.732605	-47.648773	-45.49353	-28.510506
3308.9661	-39.732605	-47.424683	-45.49353	-27.606714
3308.9666	-39.732605	-47.412888	-45.707901	-26.468172
3308.9672	-39.732605	-47.636978	-45.517349	-23.89765
3308.9678	-39.971954	-47.648773	-45.707901	-15.094487
3308.9683	-39.732605	-47.424683	-45.517349	3.9438152
3308.9689	-39.732605	-47.412888	-45.49353	20.01252
3308.9694	-39.732605	-47.412888	-45.49353	28.48703
3308.97	-39.493252	-47.412888	-45.279163	28.580931
3308.9706	-39.493252	-47.412888	-45.255344	21.620564
3308.9711	-39.493252	-47.412888	-45.469711	11.44411
3308.9717	-39.493252	-47.412888	-45.279163	0.88031578
3308.9722	-39.493252	-47.412888	-45.255344	-8.8853245
3308.9728	-39.493252	-47.412888	-45.469711	-16.913807
3308.9734	-39.253899	-47.412888	-45.49353	-23.46336
3308.9739	-39.253899	-47.412888	-45.279163	-28.604406
3308.9745	-39.253899	-47.412888	-45.255344	-32.336945
3308.975	-39.253899	-47.412888	-45.255344	-34.860519
3308.9756	-38.775192	-47.412888	-45.255344	-37.008492
3308.9762	-39.014545	-47.188797	-45.255344	-38.323097
3308.9767	-39.253899	-47.401093	-45.255344	-39.297314
3308.9773	-39.014545	-47.412888	-45.255344	-40.236317
3308.9778	-38.775192	-47.412888	-45.255344	-40.776241
3308.9784	-38.775192	-47.636978	-45.469711	-41.046207
3308.979	-38.535839	-47.648773	-45.49353	-41.280956
3308.9795	-38.057133	-47.424683	-45.49353	-41.515709
3308.9801	-37.81778	-47.412888	-45.49353	-41.550922
3308.9806	-37.09972	-47.412888	-45.49353	-41.550922
3308.9812	-36.621014	-47.188797	-45.49353	-41.750458
3308.9818	-35.902954	-47.177002	-45.49353	-41.785671
3308.9823	-35.184895	-47.177002	-45.49353	-41.785671
3308.9829	-34.706188	-47.401093	-45.707901	-41.785671
3308.9834	-34.227482	-47.188797	-45.517349	-41.785671
3308.984	-33.748775	-47.177002	-45.707901	-41.785671
3308.9846	-33.270073	-47.401093	-45.73172	-41.785671
3308.9851	-32.791367	-47.188797	-45.517349	-41.586136
3308.9857	-32.31266	-47.177002	-45.707901	-41.550922
3308.9862	-32.073307	-47.177002	-45.73172	-41.351383
3308.9868	-31.594601	-46.952911	-45.73172	-41.31617
3308.9874	-30.876541	-46.717026	-45.517349	-41.31617
3308.9879	-30.397835	-46.705231	-45.49353	-41.31617
3308.9885	-30.158482	-46.705231	-45.49353	-41.31617
3308.989	-29.919128	-46.929321	-45.707901	-41.31617
3308.9896	-29.919128	-46.941116	-45.73172	-41.31617
3308.9902	-29.440422	-46.941116	-45.73172	-41.31617
3308.9907	-29.201069	-46.941116	-45.73172	-41.116634
3308.9913	-29.201069	-46.717026	-45.73172	-41.081421
3308.9918	-28.961718	-46.705231	-45.73172	-40.881882
3308.9924	-28.722364	-46.705231	-45.517349	-40.846668
3308.993	-28.243658	-46.705231	-45.707901	-40.846668
3308.9935	-28.243658	-46.705231	-45.73172	-40.846668
3308.9941	-28.004305	-46.705231	-45.73172	-40.846668
3308.9946	-28.243658	-46.705231	-45.73172	-40.846668
3308.9952	-28.243658	-46.929321	-45.73172	-40.846668
3308.9958	-28.004305	-46.941116	-45.73172	-40.647133
3308.9963	-27.764952	-47.165207	-45.946087	-40.611919
3308.9969	-27.764952	-46.952911	-45.969906	-40.41238
3308.9974	-27.764952	-46.941116	-45.755539	-40.377167
3308.998	-27.286245	-46.717026	-45.73172	-40.377167
3308.9986	-27.286245	-46.929321	-45.946087	-40.377167
3308.9991	-27.286245	-46.941116	-45.969906	-40.377167
3308.9997	-27.286245	-46.941116	-45.969906	-40.177631
3309.0002	-26.807539	-46.941116	-45.969906	-40.341953
3309.0008	-26.807539	-46.941116	-45.969906	-40.177631
3309.0014	-26.807539	-46.941116	-45.969906	-40.142418
3309.0019	-26.568186	-46.717026	-45.969906	-39.942879
3309.0025	-26.568186	-46.929321	-45.969906	-39.907665
3309.003	-26.089479	-46.717026	-45.969906	-39.708126
3309.0036	-25.610775	-46.48114	-45.755539	-39.672913
3309.0042	-25.610775	-46.469345	-45.73172	-39.672913
3309.0047	-25.371422	-46.469345	-45.73172	-39.672913
3309.0053	-24.892715	-46.469345	-45.73172	-39.473377
3309.0058	-24.892715	-46.693436	-45.73172	-39.637699
3309.0064	-24.653362	-46.705231	-45.946087	-39.473377
3309.007	-23.935303	-46.48114	-45.755539	-39.438164
3309.0075	-23.456596	-46.693436	-45.73172	-39.238625
3309.0081	-22.97789	-46.48114	-45.73172	-39.203411
3309.0086	-22.499186	-46.469345	-45.73172	-39.203411
3309.0092	-21.541773	-46.469345	-45.73172	-39.203411
3309.0098	-20.823713	-46.469345	-45.73172	-39.203411
3309.0103	-19.387596	-46.469345	-45.517349	-39.003876
3309.0109	-17.472771	-46.469345	-45.707901	-38.968662
3309.0114	-13.882476	-46.469345	-45.73172	-38.968662
3309.012	-3.1115894	-46.469345	-45.517349	-38.968662
3309.0126	28.722364	-46.021168	-45.064796	-38.769123
3309.0131	48.109959	-46.221668	-45.445892	-38.73391
3309.0137	46.913193	-46.45755	-45.707901	-38.73391
3309.0142	37.09972	-46.469345	-45.73172	-38.534374
3309.0148	23.69595	-46.469345	-45.946087	-38.499161
3309.0154	11.249593	-46.469345	-45.969906	-38.499161
3309.0159	1.4361181	-46.469345	-45.969906	-38.499161
3309.0165	-6.462532	-46.693436	-45.755539	-38.299622
3309.017	-12.685711	-46.705231	-45.73172	-38.264408
3309.0176	-18.430183	-46.705231	-45.946087	-38.264408
3309.0182	-22.499186	-46.705231	-45.969906	-37.865334
3309.0187	-25.610775	-46.48114	-45.755539	-37.395832
3309.0193	-28.004305	-46.469345	-45.73172	-37.125866
3309.0198	-29.679775	-46.245258	-45.73172	-36.691578
3309.0204	-31.115894	-46.009373	-45.517349	-36.222076
3309.021	-32.552013	-45.997578	-45.49353	-36.151649
3309.0215	-33.509426	-45.997578	-45.49353	-35.95211
3309.0221	-34.466835	-45.997578	-45.49353	-35.916897
