"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
3855.3528	-60.790855	12.653662	-45.496296	-56.126629
3855.3533	-60.88076	18.829884	-45.678471	-56.124611
3855.3538	-60.742905	21.532885	-45.838024	-56.355663
3855.3543	-60.874767	22.012255	-45.61586	-56.242153
3855.3549	-60.844799	21.306494	-45.585968	-56.210247
3855.3554	-60.748901	19.905443	-45.492256	-56.35001
3855.3559	-60.952682	17.80105	-45.60334	-56.399693
3855.3564	-60.647007	15.313561	-45.571022	-56.436451
3855.357	-60.682968	12.299975	-45.521744	-56.421909
3855.3575	-60.784863	8.81427	-45.627171	-56.471592
3855.358	-60.964672	5.35636	-45.672009	-56.305576
3855.3585	-61.096531	1.7393312	-45.585564	-56.350006
3855.3591	-60.892746	-1.6843385	-45.555267	-56.393635
3855.3596	-60.832809	-5.2993526	-45.446205	-56.803631
3855.3601	-60.88076	-8.5248299	-45.437317	-56.657406
3855.3606	-60.838806	-11.669336	-45.623131	-56.712742
3855.3612	-61.006626	-14.879505	-45.520126	-56.655384
3855.3617	-60.772873	-17.550282	-45.330681	-56.718803
3855.3622	-60.653	-19.680861	-45.13073	-56.81979
3855.3627	-60.796848	-22.181238	-45.076603	-56.702244
3855.3633	-60.814831	-24.314636	-44.714672	-56.806458
3855.3638	-60.976658	-26.06172	-44.707806	-56.605297
3855.3643	-61.198425	-27.791077	-44.588642	-56.635593
3855.3648	-60.952682	-29.6719	-44.260647	-56.729305
3855.3654	-60.850792	-31.145863	-44.169353	-56.814941
3855.3659	-60.688965	-32.286682	-44.00172	-56.905426
3855.3664	-60.653	-33.444016	-44.018684	-56.651344
3855.3669	-60.748901	-34.411217	-43.858322	-56.672352
3855.3675	-60.856785	-35.552036	-43.822372	-56.765663
3855.368	-61.012619	-36.540989	-43.727043	-56.783432
3855.3685	-61.012619	-37.496506	-43.890236	-56.863415
3855.369	-60.910728	-37.969433	-43.805405	-56.801208
3855.3696	-60.754894	-38.472973	-43.870037	-56.841602
3855.3701	-60.988647	-39.1026	-43.667259	-56.709106
3855.3706	-60.706944	-39.764854	-43.677761	-56.919964
3855.3711	-60.934704	-40.235764	-43.664833	-56.862202
3855.3717	-60.527134	-40.828735	-43.633327	-56.608124
3855.3722	-60.593063	-41.193699	-43.503262	-56.776974
3855.3727	-60.605053	-41.703281	-43.427319	-56.671543
3855.3732	-60.479187	-41.88496	-43.454384	-56.578232
3855.3738	-60.449219	-42.205612	-43.200306	-56.20459
3855.3743	-60.551109	-42.550842	-43.193035	-56.387573
3855.3748	-60.832809	-42.984287	-43.022167	-56.538242
3855.3753	-60.664989	-43.138168	-43.147793	-56.564903
3855.3759	-60.581078	-43.665878	-42.950672	-56.515217
3855.3764	-60.676975	-43.854809	-43.273823	-56.766064
3855.3769	-60.796848	-43.99741	-43.20192	-56.55238
3855.3774	-60.539124	-44.419983	-43.147793	-56.598026
3855.378	-60.814831	-44.581516	-43.171627	-56.579849
3855.3785	-60.874767	-44.93198	-43.026611	-56.696991
3855.379	-60.760887	-44.878807	-42.971676	-56.462303
3855.3795	-60.922714	-45.114059	-42.929668	-56.512794
3855.3801	-60.760887	-45.173679	-43.128403	-56.39323
3855.3806	-60.802841	-45.323532	-43.051655	-56.418274
3855.3811	-60.814831	-45.665539	-42.917953	-56.511181
3855.3816	-60.838806	-45.918919	-42.80283	-56.52895
3855.3822	-60.952682	-45.95034	-42.991066	-56.478863
3855.3827	-60.736912	-45.840366	-42.695381	-56.492191
3855.3832	-60.760887	-46.032921	-42.684071	-56.46513
3855.3837	-61.030602	-46.1437	-42.833527	-56.321732
3855.3843	-60.820824	-46.265759	-42.706291	-56.300323
3855.3848	-60.844799	-46.319336	-42.66872	-56.401306
3855.3853	-60.940697	-46.66013	-42.699421	-56.691334
3855.3858	-61.084545	-46.732639	-42.735371	-56.507946
3855.3864	-60.970665	-46.709679	-42.73901	-56.46513
3855.3869	-60.88076	-46.679466	-42.401314	-56.231251
3855.3874	-60.904736	-46.916332	-42.48978	-56.288204
3855.3879	-60.736912	-46.864365	-42.30114	-56.169044
3855.3885	-60.892746	-47.007774	-42.265186	-56.329811
3855.389	-61.048584	-47.288548	-42.148849	-56.291031
3855.3895	-60.976658	-47.202343	-42.030094	-56.061192
3855.39	-60.736912	-47.062561	-42.101997	-56.067654
3855.3906	-60.970665	-47.368713	-41.985256	-55.922237
3855.3911	-60.976658	-47.35582	-41.783287	-55.968285
3855.3916	-60.862778	-47.372337	-41.8871	-56.045841
3855.3921	-61.012619	-47.428734	-41.901237	-55.932335
3855.3927	-61.126499	-47.588657	-41.716637	-55.895573
3855.3932	-61.216404	-47.502048	-41.900028	-55.814384
3855.3937	-60.928711	-47.605576	-41.857208	-56.00666
3855.3942	-61.16246	-47.744553	-41.893967	-56.026451
3855.3948	-61.156467	-47.925426	-41.923454	-55.964649
3855.3953	-61.234386	-47.824718	-41.776424	-55.994137
3855.3958	-61.150475	-47.868225	-41.706539	-56.053112
3855.3963	-61.27634	-47.987865	-41.827721	-55.898808
3855.3969	-61.126499	-47.837204	-41.716232	-55.706532
3855.3974	-61.216404	-48.08374	-41.902046	-55.823677
3855.3979	-61.354259	-48.151817	-41.972736	-55.810349
3855.3984	-61.390221	-48.260582	-41.968697	-55.571213
3855.399	-60.94669	-48.145775	-41.358749	-55.520317
3855.3995	-61.186436	-48.14658	-41.380966	-55.461342
3855.4	-61.270348	-48.10791	-41.541328	-55.570404
3855.4005	-61.540062	-48.16954	-41.64999	-55.595448
3855.4011	-61.34227	-47.871044	-41.679478	-55.410042
3855.4016	-61.282333	-48.053928	-41.850342	-55.792572
3855.4021	-61.528072	-48.18364	-41.757839	-55.656849
