"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
3713.335	-55.25272	-49.284985	-22.842598	-55.26099
3713.3355	-55.228745	-49.490429	-25.474663	-55.082047
3713.3361	-55.468491	-49.679356	-27.795696	-55.533241
3713.3366	-55.396568	-49.446117	-30.00322	-55.32885
3713.3371	-55.216759	-49.432823	-31.730867	-55.142231
3713.3376	-55.666283	-49.677746	-33.443569	-55.113148
3713.3382	-55.54641	-49.363937	-34.769295	-55.213726
3713.3387	-55.588364	-49.529907	-35.825592	-55.339756
3713.3392	-55.804138	-49.658005	-36.892799	-55.450031
3713.3397	-55.540417	-49.651562	-37.713604	-55.445992
3713.3403	-55.6483	-49.1875	-38.483913	-55.37167
3713.3408	-55.696251	-49.221336	-39.173035	-55.43993
3713.3413	-55.798141	-49.190319	-39.74057	-55.405598
3713.3418	-55.708237	-48.76936	-40.110577	-55.261391
3713.3424	-55.630322	-48.422924	-40.47493	-55.285225
3713.3429	-55.6483	-48.269444	-40.678112	-55.242405
3713.3434	-56.025902	-47.844055	-40.851803	-55.386211
3713.3439	-55.87606	-47.084717	-41.143047	-55.294918
3713.3445	-56.043884	-46.967087	-41.128906	-55.117996
3713.345	-55.971958	-46.43132	-41.507801	-55.173737
3713.3455	-56.079845	-46.296776	-41.844688	-55.483963
3713.346	-56.331577	-45.497959	-42.118961	-55.505775
3713.3466	-56.433472	-45.046387	-42.031708	-55.703705
3713.3471	-56.313599	-44.351501	-42.480083	-55.655636
3713.3476	-56.361546	-43.964378	-42.58955	-56.052708
3713.3481	-56.499401	-43.506359	-42.705482	-56.290627
3713.3487	-56.265648	-43.102318	-42.833126	-56.220745
3713.3492	-56.541355	-42.693848	-42.964809	-56.395653
3713.3497	-56.865013	-42.199169	-43.060947	-56.352028
3713.3502	-56.721165	-41.927258	-42.979755	-56.659019
3713.3508	-56.733154	-41.34597	-42.979351	-56.641651
3713.3513	-57.164696	-40.936691	-43.357841	-56.814133
3713.3518	-56.966904	-40.844849	-43.210003	-56.815346
3713.3523	-56.835045	-40.309483	-43.415607	-56.837154
3713.3529	-56.936935	-39.987217	-43.132042	-56.80484
3713.3534	-56.960911	-39.646423	-43.211212	-56.938145
3713.3539	-56.936935	-39.358799	-43.373596	-57.224937
3713.3544	-56.978893	-39.038952	-43.424492	-57.154247
3713.355	-56.9729	-38.613159	-43.357033	-57.277855
3713.3555	-57.092773	-38.433899	-43.528305	-57.847004
3713.356	-57.398449	-38.13258	-43.632114	-57.655132
3713.3565	-57.080784	-37.528732	-43.655949	-57.712086
3713.3571	-57.03883	-37.30637	-43.601013	-57.762581
3713.3576	-57.098766	-37.311607	-43.683819	-57.788433
3713.3581	-56.9729	-36.839085	-43.432167	-57.812668
3713.3586	-57.080784	-36.692455	-43.62727	-57.740768
3713.3592	-57.236618	-36.272705	-43.586472	-57.984344
3713.3597	-57.15271	-35.754257	-43.561024	-57.939911
3713.3602	-57.212646	-35.207615	-43.428532	-57.816711
3713.3607	-57.02684	-34.652512	-43.237064	-58.187119
3713.3613	-57.572266	-34.096603	-43.255646	-58.016254
3713.3618	-57.092773	-33.388828	-43.351379	-58.047359
3713.3623	-57.14072	-32.238743	-43.269783	-58.016659
3713.3628	-57.254601	-31.087048	-43.305332	-58.0312
