"Time"	"0 L-SI2"	"1 R-Si2"	"2 L-Si3"	"3 R-Si3"
3458.9111	-38.057133	-41.279877	-43.826229	-38.73391
3458.9117	-37.81778	-41.503967	-44.040596	-38.73391
3458.9122	-38.057133	-41.515762	-44.064415	-38.73391
3458.9128	-38.296486	-41.515762	-44.064415	-38.534374
3458.9134	-38.296486	-41.739853	-44.064415	-38.499161
3458.9139	-38.296486	-41.751648	-44.064415	-38.499161
3458.9145	-38.057133	-41.751648	-44.278782	-38.698696
3458.915	-38.296486	-41.751648	-44.302601	-38.534374
3458.9156	-38.296486	-41.751648	-44.302601	-38.698696
3458.9162	-38.296486	-41.975735	-44.302601	-38.534374
3458.9167	-38.535839	-41.98753	-44.088234	-38.499161
3458.9173	-38.535839	-42.21162	-44.278782	-38.499161
3458.9178	-38.535839	-42.223415	-44.088234	-38.499161
3458.9184	-38.057133	-41.999325	-44.064415	-38.299622
3458.919	-38.296486	-41.98753	-44.064415	-38.264408
3458.9195	-38.057133	-41.98753	-44.064415	-38.264408
3458.9201	-38.057133	-42.21162	-43.850048	-38.264408
3458.9206	-38.057133	-42.223415	-44.040596	-38.064869
3458.9212	-38.057133	-42.223415	-44.064415	-38.229195
3458.9218	-38.296486	-42.223415	-44.064415	-38.264408
3458.9223	-38.296486	-42.447506	-44.064415	-38.064869
3458.9229	-38.057133	-42.459301	-44.064415	-38.029655
3458.9234	-38.057133	-42.23521	-43.850048	-38.029655
3458.924	-37.81778	-42.223415	-43.826229	-37.83012
3458.9246	-38.057133	-42.447506	-44.040596	-37.994442
3458.9251	-38.296486	-42.459301	-44.064415	-38.029655
3458.9257	-38.296486	-42.459301	-44.064415	-37.83012
3458.9262	-38.296486	-42.683392	-44.064415	-37.994442
3458.9268	-38.535839	-42.695187	-44.064415	-37.83012
3458.9274	-38.535839	-42.919277	-44.278782	-37.794907
3458.9279	-38.296486	-42.931072	-44.088234	-37.794907
3458.9285	-38.296486	-42.706982	-44.278782	-37.794907
3458.929	-38.296486	-42.919277	-44.302601	-37.794907
3458.9296	-38.535839	-42.706982	-44.088234	-37.595367
3458.9302	-38.535839	-42.695187	-44.278782	-37.560154
3458.9307	-38.535839	-42.919277	-44.302601	-37.560154
3458.9313	-38.535839	-42.706982	-44.302601	-37.560154
3458.9318	-38.535839	-42.919277	-44.302601	-37.560154
3458.9324	-38.775192	-42.931072	-44.302601	-37.560154
3458.933	-38.535839	-42.931072	-44.302601	-37.560154
3458.9335	-38.775192	-42.931072	-44.302601	-37.560154
3458.9341	-38.775192	-43.155163	-44.302601	-37.560154
3458.9346	-38.535839	-42.942867	-44.302601	-37.360619
3458.9352	-38.535839	-42.706982	-44.302601	-37.325405
3458.9358	-38.296486	-42.695187	-44.302601	-37.325405
3458.9363	-38.535839	-42.695187	-44.088234	-37.325405
3458.9369	-38.296486	-42.695187	-44.064415	-37.325405
3458.9374	-38.535839	-42.919277	-44.278782	-37.125866
3458.938	-38.775192	-42.931072	-44.302601	-37.290192
3458.9386	-38.775192	-42.931072	-44.302601	-37.125866
3458.9391	-38.535839	-42.931072	-44.088234	-37.090652
3458.9397	-38.775192	-42.931072	-44.278782	-37.090652
3458.9402	-38.535839	-42.931072	-44.302601	-36.891117
3458.9408	-38.775192	-42.931072	-44.302601	-36.855904
3458.9414	-38.535839	-42.931072	-44.088234	-36.855904
3458.9419	-38.775192	-42.931072	-44.278782	-36.855904
3458.9425	-38.535839	-42.931072	-44.302601	-36.855904
3458.943	-38.775192	-42.931072	-44.302601	-36.855904
3458.9436	-39.014545	-43.155163	-44.302601	-36.855904
3458.9442	-39.014545	-43.166958	-44.302601	-36.855904
3458.9447	-39.014545	-43.166958	-44.302601	-36.656364
3458.9453	-39.253899	-43.166958	-44.302601	-36.621151
3458.9458	-39.014545	-43.166958	-44.516968	-36.621151
3458.9464	-39.014545	-42.942867	-44.32642	-36.621151
3458.947	-39.253899	-43.155163	-44.516968	-36.621151
3458.9475	-39.014545	-43.166958	-44.540787	-36.621151
3458.9481	-39.014545	-43.166958	-44.540787	-36.621151
3458.9486	-39.014545	-43.166958	-44.540787	-36.621151
3458.9492	-39.253899	-43.166958	-44.540787	-36.621151
3458.9498	-39.253899	-43.166958	-44.540787	-36.421616
3458.9503	-39.253899	-43.391048	-44.755154	-36.386402
3458.9509	-39.253899	-43.402843	-44.564606	-36.386402
3458.9514	-39.253899	-43.178753	-44.540787	-36.186863
3458.952	-38.775192	-42.942867	-44.32642	-36.151649
3458.9526	-38.775192	-42.931072	-44.516968	-36.151649
3458.9531	-38.775192	-42.931072	-44.32642	-36.151649
3458.9537	-38.775192	-42.931072	-44.516968	-35.95211
3458.9542	-38.775192	-42.931072	-44.540787	-35.916897
3458.9548	-39.014545	-42.931072	-44.540787	-35.916897
3458.9554	-39.014545	-42.931072	-44.540787	-35.916897
3458.9559	-39.014545	-42.931072	-44.540787	-35.916897
3458.9565	-39.014545	-42.931072	-44.540787	-35.916897
3458.957	-39.014545	-42.931072	-44.540787	-35.717361
3458.9576	-39.014545	-42.706982	-44.540787	-35.682148
3458.9582	-39.014545	-42.695187	-44.540787	-35.682148
3458.9587	-39.014545	-42.919277	-44.540787	-35.682148
3458.9593	-39.014545	-42.931072	-44.540787	-35.682148
3458.9598	-39.014545	-42.931072	-44.540787	-35.682148
3458.9604	-39.253899	-43.155163	-44.755154	-35.682148
3458.961	-39.253899	-43.166958	-44.564606	-35.482609
3458.9615	-39.253899	-43.166958	-44.755154	-35.447395
3458.9621	-39.253899	-43.166958	-44.778973	-35.447395
3458.9626	-39.253899	-42.942867	-44.778973	-35.447395
3458.9632	-39.253899	-42.931072	-44.564606	-35.447395
3458.9638	-39.253899	-42.931072	-44.755154	-35.447395
3458.9643	-39.253899	-43.155163	-44.778973	-35.447395
3458.9649	-39.253899	-42.942867	-44.778973	-35.447395
3458.9654	-39.253899	-42.931072	-44.564606	-35.447395
3458.966	-39.253899	-42.931072	-44.755154	-35.447395
3458.9666	-39.253899	-42.931072	-44.778973	-35.447395
3458.9671	-39.253899	-42.931072	-44.564606	-35.447395
3458.9677	-39.253899	-42.931072	-44.755154	-35.447395
3458.9682	-39.014545	-42.706982	-44.564606	-35.24786
3458.9688	-38.775192	-42.695187	-44.540787	-35.212646
3458.9694	-38.535839	-42.695187	-44.540787	-35.212646
3458.9699	-38.535839	-42.695187	-44.540787	-35.212646
3458.9705	-38.775192	-42.695187	-44.32642	-35.212646
3458.971	-39.014545	-42.695187	-44.516968	-35.013107
3458.9716	-38.775192	-42.471096	-44.540787	-35.177433
3458.9722	-38.775192	-42.459301	-44.540787	-35.013107
3458.9727	-38.775192	-42.683392	-44.540787	-34.977894
3458.9733	-38.775192	-42.471096	-44.32642	-34.977894
3458.9738	-38.775192	-42.459301	-44.302601	-34.778358
3458.9744	-38.775192	-42.459301	-44.302601	-34.743145
3458.975	-38.535839	-42.459301	-44.302601	-34.743145
3458.9755	-38.775192	-42.459301	-44.516968	-34.743145
3458.9761	-38.775192	-42.683392	-44.540787	-34.743145
3458.9766	-39.014545	-42.695187	-44.540787	-34.743145
3458.9772	-39.014545	-42.695187	-44.540787	-34.743145
3458.9778	-39.014545	-42.471096	-44.540787	-34.543606
3458.9783	-39.014545	-42.459301	-44.755154	-34.508392
3458.9789	-39.253899	-42.683392	-44.778973	-34.508392
3458.9794	-39.014545	-42.695187	-44.564606	-34.508392
3458.98	-39.253899	-42.471096	-44.540787	-34.308857
3458.9806	-39.253899	-42.459301	-44.540787	-34.273643
3458.9811	-39.014545	-42.459301	-44.540787	-34.273643
3458.9817	-39.014545	-42.459301	-44.540787	-34.273643
3458.9822	-39.253899	-42.459301	-44.755154	-34.273643
3458.9828	-39.014545	-42.459301	-44.564606	-34.074104
3458.9834	-39.014545	-42.459301	-44.540787	-34.038891
3458.9839	-39.014545	-42.459301	-44.540787	-33.839352
3458.9845	-38.775192	-42.23521	-44.540787	-33.804138
3458.985	-38.775192	-42.223415	-44.540787	-33.604603
3458.9856	-38.535839	-41.999325	-44.32642	-33.569389
3458.9862	-38.775192	-41.98753	-44.302601	-33.569389
