Time (sec) (Aii)	Si1 spike (Hz) (Aii)
-26.2668	0
0.3759	0
0.4399	2
0.5724	3
0.6359	4
0.7657	5
0.8281	6
0.9719	10.0677
1.0324	10.6639
1.1005	11.0411
1.2013	10.9048
4.5255	1
4.6459	2
5.2377	2.8082
5.3485	3.645
6.397	1
6.5072	2
6.6071	3
6.829	4
7.2233	4.841
7.5985	3.0261
7.9381	2.7978
8.0695	3.5452
8.3861	3.809
8.5357	4.2681
9.2255	2.3826
9.7679	1.8436
10.177	2.1019
10.3129	3.67
10.4455	4.4279
10.7029	4.2781
11.4718	1.3007
12.0507	1.7273
12.5196	2
12.6718	3.22
12.8139	3.9308
13.4612	3.186
13.8188	2
13.9255	3
14.029	5.2843
14.1245	6.0309
14.2306	6.4991
14.3377	6.846
14.4658	9.2738
14.5731	9.2803
14.7039	9.039
15.2846	4.2241
15.4827	3.2981
15.7372	3
15.8937	4.9253
16.0072	5.536
16.1256	5.9454
16.3126	6.0247
16.4995	6.5596
16.6313	6.711
16.8507	6.2699
17.0328	5.5116
17.1749	5.7986
17.451	5.2546
17.6365	5.0899
17.7692	5.4435
17.9243	5.6083
18.0984	5.4144
18.3468	5.5816
18.4967	5.8128
18.6746	5.5222
18.9208	5.0175
19.0756	5.1168
19.2613	5.468
19.4107	5.4708
19.5558	5.6743
19.9207	5.0007
20.0759	4.9102
20.2206	5.2119
20.3684	5.2205
20.5314	5.1253
20.7069	6.3594
20.8519	6.443
21.0262	6.3134
21.2079	6.077
21.3805	5.8886
21.5584	5.8725
21.7241	5.7332
21.908	5.6707
22.0735	5.7762
22.4341	4.5675
22.6283	4.4237
22.7982	4.4931
22.9416	4.6082
23.092	6.0796
23.3	5.7745
23.4563	6.0381
23.6105	6.1089
23.7503	6.3019
23.9866	5.5893
24.1414	5.9424
24.3291	5.7291
24.482	5.7369
24.6418	5.6083
24.818	6.0141
24.9766	6.0604
25.1434	6.1402
25.3098	6.1181
25.4954	5.8579
25.7161	5.5672
25.9627	5.0707
26.1413	5.0104
26.3613	4.6196
26.5902	4.5763
26.7887	4.8425
26.9937	4.6929
27.1429	5.1174
27.2823	5.4284
27.484	5.5936
27.6515	5.7949
27.8237	6.0239
27.97	6.1458
28.1148	6.1733
28.2694	6.0785
28.5155	5.7875
28.7125	5.6254
