L-Si2 burst time (sec) (Aiii)	L-Si2 burst freq (Hz) (Aiii)		R-Si3 burst time (sec) (Aiii)	R-Si3 burst freq (Hz) (Aiii)
13.7409			13.5409	
17.4409	0.2703		17.1509	0.277
21.0909	0.274		20.6609	0.2849
24.7309	0.2747		24.3009	0.2747
28.6409	0.2558		28.1209	0.2618
32.9609	0.2315		32.3209	0.2381
37.5109	0.2198		36.8509	0.2208
42.2009	0.2132		41.4809	0.216
46.8509	0.2151		46.1209	0.2155
51.7409	0.2045		51.1109	0.2004
56.8809	0.1946		56.1609	0.198
61.7909	0.2037		61.0209	0.2058
66.6409	0.2062		65.9809	0.2016
71.7709	0.1949		71.0309	0.198
76.6909	0.2033		76.0209	0.2004
82.1309	0.1838		81.3809	0.1866
87.4309	0.1887		86.7209	0.1873
93.0509	0.1779		92.2409	0.1812
98.9409	0.1698		98.1109	0.1704
105.1709	0.1605		104.3209	0.161
111.3709	0.1613		110.6209	0.1587
117.3809	0.1664		116.6509	0.1658
123.6609	0.1592		122.8009	0.1626
130.1209	0.1548		129.2109	0.156
136.2309	0.1637		135.5309	0.1582
142.5609	0.158		141.7209	0.1616
149.7509	0.1391		148.6709	0.1439
157.0609	0.1368		155.8909	0.1385
164.7609	0.1299		163.4409	0.1325
173.5209	0.1142		172.2809	0.1131
181.5409	0.1247		180.2509	0.1255
190.4109	0.1127		188.8709	0.116
200.3809	0.1003		198.5609	0.1032
212.5309	0.0823		209.4709	0.0917
228.8009	0.0615		224.8109	0.0652
	--		239.7309	0.067
