Si1 spikes (Hz) during Si2 burst	Si2 intraburst freq (Hz)	Si1 spike freq (Hz) during Si3 burst	Si3 intraburst spike freq (Hz)
3.56	8.54	4.65	7.56
5.49	9.77	5.06	10.12
5.49	11.48	6.22	10.22
5.77	11.55	5.8	9.81
5.46	10.92	5.44	9.62
5	11.25	5	8.93
5.04	10.93	4.99	9.27
4.77	11.13	4.94	8.57
4.88	10.89	5.05	8.21
4.73	10.24	4.8	7.8
4.47	10.57	4.82	8.35
4.43	10.46	4.57	7.72
4.76	9.89	5.12	8.54
4.2	10.31	4.81	7.82
3.88	10.08	4.26	7.39
4.28	9.55	4.17	7.23
4.35	9.78	4.62	7.71
4.39	9.45	4.16	7.28
4.19	9.22	4.22	7.12
3.73	9.02	3.6	7.2
3.73	9.5	4	7.43
3.24	9.13	3.43	6.85
2.6	9.1	3.21	7.29
3.62	8.91	3.52	6.33
3.58	9.68	3.72	7.75
3.13	9.12	3.32	6.89
2.84	8.52	3.3	6.17
2.64	9.26	2.78	6.49
2.13	8.73	2.53	5.59
2.82	8.73	3.15	6.31
2.05	8.43	2.45	6.37
2.39	8.48	2.22	6.05
2.12	8.08	2.3	6.07
1.48	7.81	2.09	6.09
0.35	5.75	0.74	5.32
