L-Si2  burst time (sec) (Aiv)	L-Si2 intraburst spike freq (Hz)(Aiv)	R-Si3  burst time (sec) (Aiv)	R-Si3 intraburst spike freq (Hz)(Aiv)
13.7409	8.54	13.5409	7.56
17.4409	9.77	17.1509	10.12
21.0909	11.48	20.6609	10.22
24.7309	11.55	24.3009	9.81
28.6409	10.92	28.1209	9.62
32.9609	11.25	32.3209	8.93
37.5109	10.93	36.8509	9.27
42.2009	11.13	41.4809	8.57
46.8509	10.89	46.1209	8.21
51.7409	10.24	51.1109	7.8
56.8809	10.57	56.1609	8.35
61.7909	10.46	61.0209	7.72
66.6409	9.89	65.9809	8.54
71.7709	10.31	71.0309	7.82
76.6909	10.08	76.0209	7.39
82.1309	9.55	81.3809	7.23
87.4309	9.78	86.7209	7.71
93.0509	9.45	92.2409	7.28
98.9409	9.22	98.1109	7.12
105.1709	9.02	104.3209	7.2
111.3709	9.5	110.6209	7.43
117.3809	9.13	116.6509	6.85
123.6609	9.1	122.8009	7.29
130.1209	8.91	129.2109	6.33
136.2309	9.68	135.5309	7.75
142.5609	9.12	141.7209	6.89
149.7509	8.52	148.6709	6.17
157.0609	9.26	155.8909	6.49
164.7609	8.73	163.4409	5.59
173.5209	8.73	172.2809	6.31
181.5409	8.43	180.2509	6.37
190.4109	8.48	188.8709	6.05
200.3809	8.08	198.5609	6.07
212.5309	7.81	209.4709	6.09
228.8009	5.75	224.8109	5.32
		239.7309	2.23
