mode,time_s,V0,V1
presynaptic,0.0,-39.75,-44.99341128252979
presynaptic,0.01,-40.017857112484066,-44.88493841704744
presynaptic,0.02,-40.19196425055804,-44.7784254009218
presynaptic,0.03,-40.928571393415176,-44.67391296096474
presynaptic,0.04,-41.30357146372768,-44.57142299855142
presynaptic,0.05,-41.65178567912947,-44.470963146062196
presynaptic,0.06,-42.013392821986606,-44.372530305218724
presynaptic,0.07,-42.18750003515625,-44.2761130302494
presynaptic,0.08,-42.29464289229911,-44.18169335550886
presynaptic,0.09,-42.30803574944196,-44.08924874099966
presynaptic,0.1,-41.75892860658482,-43.99875259153623
presynaptic,0.11,-41.30357146372768,-43.910174638959006
presynaptic,0.12,-41.37053567912946,-43.82348216245077
presynaptic,0.13,-41.53125,-43.738642478485446
presynaptic,0.14,-41.71875003515625,-43.655618244722426
presynaptic,0.15,-41.79910710770089,-43.57437334619135
presynaptic,0.16,-41.83928574944196,-43.49487060837194
presynaptic,0.17,-41.58482139341518,-43.41706956042103
presynaptic,0.18,-41.75892853627232,-43.340934276935634
presynaptic,0.19,-41.22321432087053,-43.26642182853807
presynaptic,0.2,-41.25,-43.19349673033381
presynaptic,0.21,-40.968750035156255,-43.122115128333355
presynaptic,0.22,-41.07589289229911,-43.05224176352523
presynaptic,0.23,-41.4375,-42.98383279472528
presynaptic,0.24,-41.665178606584824,-42.91685280046495
presynaptic,0.25,-41.90625,-42.851259273185555
presynaptic,0.26,-42.09375,-42.7870152600711
presynaptic,0.27,-42.013392821986606,-42.72408197733447
presynaptic,0.28,-42.1875,-42.662419229789414
presynaptic,0.29,-42.28125,-42.60199257179367
presynaptic,0.3,-42.16071425055804,-42.54275981064628
presynaptic,0.31,-42.14732139341518,-42.48468788627183
presynaptic,0.32,-41.85267853627232,-42.427737130811046
presynaptic,0.33,-41.852678641741065,-42.371871440372296
presynaptic,0.34,-41.638392821986606,-42.31705718169517
presynaptic,0.35,-41.53125,-42.26325480915495
presynaptic,0.36,-41.07589289229911,-42.210432217028064
presynaptic,0.37,-40.96875,-42.15855366221163
presynaptic,0.38,-40.767857213169634,-42.10758324403759
presynaptic,0.39,-40.44642853627232,-42.0574897825373
presynaptic,0.4,-40.3125,-42.0082370440345
presynaptic,0.41,-39.4821428219866,-41.95979229511534
presynaptic,0.42,-39.3750000703125,-41.91212431561724
presynaptic,0.43,-39.84375,-41.86519798043428
presynaptic,0.44,-40.05803574944196,-41.81898210710549
presynaptic,0.45,-39.0,-41.77344560738797
presynaptic,0.46,-38.94642853627232,-41.72855474140913
presynaptic,0.47,-39.13392864174108,-41.684279006712956
presynaptic,0.48,-39.267857178013394,-41.64058757068938
presynaptic,0.49,-39.28125,-41.59744778284275
presynaptic,0.5,-39.36160710770088,-41.554829279765485
presynaptic,0.51,-39.294642751674075,-41.51270139519101
presynaptic,0.52,-39.013392786830345,-41.47103208130542
presynaptic,0.53,-39.1875,-41.429790643203035
presynaptic,0.54,-39.1875,-41.388946239729435
presynaptic,0.55,-39.2008928219866,-41.34846686497248
presynaptic,0.56,-39.09375,-41.30832094882069
presynaptic,0.57,-39.01339289229912,-41.26847689490064
presynaptic,0.58,-39.0,-41.228902059820996
presynaptic,0.59,-38.86607139341516,-41.18956330187231
presynaptic,0.6,-38.6651785362723,-41.15042747096138
presynaptic,0.61,-38.46428567912945,-41.11146034217395
presynaptic,0.62,-38.625,-41.07262629029979
presynaptic,0.63,-38.812500035156255,-41.03388960509649
presynaptic,0.64,-39.28125,-40.9952130516853
presynaptic,0.65,-39.50892850111605,-40.95655732304242
presynaptic,0.66,-39.334821393415176,-40.91788283222474
presynaptic,0.67,-39.13392853627232,-40.87914716272204
presynaptic,0.68,-39.1875,-40.84030592068399
presynaptic,0.69,-39.1875,-40.80131306995137
presynaptic,0.7,-38.062499929687455,-40.7621188387117
presynaptic,0.71,-37.848214215401754,-40.72267115839046
presynaptic,0.72,-37.90178574944198,-40.682913781035815
presynaptic,0.73,-38.383928606584824,-40.642786572406415
presynaptic,0.74,-38.73214292745539,-40.60222467444904
presynaptic,0.75,-39.0,-40.561157591616215
presynaptic,0.76,-39.2008928219866,-40.51950857895281
presynaptic,0.77,-39.28125,-40.477193529585726
presynaptic,0.78,-39.3616071077009,-40.434119759351915
presynaptic,0.79,-39.53571425055802,-40.39018461752905
presynaptic,0.8,-39.84375,-40.34527373698258
presynaptic,0.81,-40.27232146372768,-40.29925895856115
presynaptic,0.82,-40.56696432087055,-40.53106607116315
presynaptic,0.83,-40.9553571780134,-41.39905701176403
presynaptic,0.84,-41.250000070312545,-42.656109421603354
presynaptic,0.85,-41.53125,-44.0321265066718
presynaptic,0.86,-40.6875,-45.104503582250715
presynaptic,0.87,-40.928571393415176,-45.76629616275869
presynaptic,0.88,-41.53125,-46.15408030424227
presynaptic,0.89,-41.78571432087055,-46.3638221972484
presynaptic,0.9,-42.1071428219866,-46.45873853277471
presynaptic,0.91,-42.46875,-46.478520758092955
presynaptic,0.92,-42.5758928922991,-46.44882394460874
presynaptic,0.93,-42.65625,-46.38653995112338
presynaptic,0.94,-42.616071393415154,-46.30285870244721
presynaptic,0.95,-42.64285707254461,-46.20524787671476
presynaptic,0.96,-42.65625,-46.098730886351916
presynaptic,0.97,-42.4821428219866,-45.986714355109164
presynaptic,0.98,-42.56250003515627,-45.87152729965605
presynaptic,0.99,-42.83035710770088,-45.754773796577716
presynaptic,1.0,-42.65625,-45.63756621146487
presynaptic,1.01,-42.52232808984375,-45.52068127698159
presynaptic,1.02,-42.28125,-45.40466255550178
presynaptic,1.03,-42.28125,-45.289892242239425
presynaptic,1.04,-42.267850481584816,-45.176638728416854
presynaptic,1.05,-42.09375,-45.0650891285792
presynaptic,1.06,-42.09375,-44.95537267352798
presynaptic,1.07,-42.080337159040184,-44.847576550195875
presynaptic,1.08,-42.24107808984375,-44.741757107078804
presynaptic,1.09,-42.4285647672991,-44.63794786123254
presynaptic,1.1,-42.2410847511161,-44.53616523189193
presynaptic,1.11,-42.29464951841519,-44.43641265340224
presynaptic,1.12,-42.093743338727684,-44.338683980959686
