parameter,value
x_shift_si2,-4.0
x_shift_si3,-4.0
presyn_g0,0.0008
postsyn_g0,0.0016
alpha1,0.008
beta1,0.0016
s0_floor,0.013
alpham,0.006
betam,5.0e-5
sm_floor,0.0213
ca_shift_si2,-25.0
ca_shift_si3,-25.0
presynaptic_base_g,0.001
direct_post_base_g,0.04
presyn_alphax,0.011
postsyn_alphax,0.011
presyn_betax,0.001
postsyn_betax,0.001
si3_exc_floor,0.0001
slow_inhib_g,0.005
slow_inhib_alpha,0.015
slow_inhib_beta,0.0005
si2_mutual_inhib_g,0.0115
si2_mutual_inhib_alpha,0.01
si2_mutual_inhib_beta,0.01
si_inhib_floor,0.0001
si3_mutual_inhib_g,0.005
si3_mutual_inhib_alpha,0.01
si3_mutual_inhib_beta,0.002
t1_ms,1000.0
