mode,control_gain,onset_failed,n_pre_intervals,mean_pre_frequency_hz,mean_pre_driver_frequency_hz,n_post_intervals,mean_post_frequency_hz,anchor_gain,anchor_target_alpha,anchor_target_g,si1_excitatory_g,compensated_direct_post_base_g,calibration_note,alpha1,beta1,s0_floor,alpham,betam,sm_floor,ca_shift_si2,ca_shift_si3,x_shift_si2,x_shift_si3,presynaptic_base_g,direct_post_base_g,presynaptic_base_alpha,postsynaptic_base_alpha,alphax,betax,si3_exc_floor,slow_inhib_g,slow_inhib_alpha,slow_inhib_beta,si2_mutual_inhib_g,si2_mutual_inhib_alpha,si2_mutual_inhib_beta,si_inhib_floor,si3_mutual_inhib_g,si3_mutual_inhib_alpha,si3_mutual_inhib_beta,t1_ms
presynaptic,0.0,true,0,0.0,0.0,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,0.22857142857142856,true,0,0.0,0.0,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,0.45714285714285713,false,9,0.02063818786237874,3.6835232814164294,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,0.6857142857142857,false,9,0.026277315317260387,3.6841823773751923,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,0.9142857142857143,false,9,0.030154434168468316,3.6818547360520943,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,1.1428571428571428,false,9,0.03211448873728246,3.682296304144417,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,1.3714285714285714,false,9,0.04022709692746097,3.6846578728706785,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,1.6,false,9,0.045917698360803186,3.682927025433377,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,1.8285714285714285,false,9,0.04797839192501327,3.684131278686262,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,2.057142857142857,false,9,0.055350370558610584,3.681305401116993,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,2.2857142857142856,false,9,0.0654229182036933,3.683308330878813,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,2.5142857142857142,false,9,0.07205932481907204,3.6829463549575525,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
presynaptic,2.742857142857143,false,9,0.08707784695679383,3.6837651802618883,0,0.0,,,,0.001,,,0.009,0.0016,0.0204,0.0025,5.0e-5,0.0092,-25.0,-25.0,-4.0,-4.0,0.001,0.04,0.011,0.011,0.011,0.001,0.0001,0.005,0.015,0.0005,0.01,0.01,0.01,0.0001,0.005,0.01,0.002,1000.0
