mode,time_s,V0,V1
presynaptic,0.0,-39.75,-43.298650277171
presynaptic,0.01,-40.017857112484066,-43.29865054852617
presynaptic,0.02,-40.19196425055804,-43.29865081774893
presynaptic,0.03,-40.928571393415176,-43.298651084855585
presynaptic,0.04,-41.30357146372768,-43.29865134986231
presynaptic,0.05,-41.65178567912947,-43.29865161278514
presynaptic,0.06,-42.013392821986606,-43.29865187364001
presynaptic,0.07,-42.18750003515625,-43.29865213244276
presynaptic,0.08,-42.29464289229911,-43.29865238920901
presynaptic,0.09,-42.30803574944196,-43.29865264395434
presynaptic,0.1,-41.75892860658482,-43.29865289669432
presynaptic,0.11,-41.30357146372768,-43.298653147444206
presynaptic,0.12,-41.37053567912946,-43.29865339621912
presynaptic,0.13,-41.53125,-43.29865364303421
presynaptic,0.14,-41.71875003515625,-43.298653887904585
presynaptic,0.15,-41.79910710770089,-43.29865413084518
presynaptic,0.16,-41.83928574944196,-43.29865437187061
presynaptic,0.17,-41.58482139341518,-43.29865461099544
presynaptic,0.18,-41.75892853627232,-43.29865484823425
presynaptic,0.19,-41.22321432087053,-43.298655083601616
presynaptic,0.2,-41.25,-43.29865531711198
presynaptic,0.21,-40.968750035156255,-43.298655548779415
presynaptic,0.22,-41.07589289229911,-43.2986557786179
presynaptic,0.23,-41.4375,-43.29865600664146
presynaptic,0.24,-41.665178606584824,-43.29865623286408
presynaptic,0.25,-41.90625,-43.29865645729971
presynaptic,0.26,-42.09375,-43.29865667996195
presynaptic,0.27,-42.013392821986606,-43.29865690086427
presynaptic,0.28,-42.1875,-43.29865712002014
presynaptic,0.29,-42.28125,-43.298657337443004
presynaptic,0.3,-42.16071425055804,-43.298657553146285
presynaptic,0.31,-42.14732139341518,-43.29865776714307
presynaptic,0.32,-41.85267853627232,-43.29865797944636
presynaptic,0.33,-41.852678641741065,-43.29865819006915
presynaptic,0.34,-41.638392821986606,-43.29865839902442
presynaptic,0.35,-41.53125,-43.29865860632498
presynaptic,0.36,-41.07589289229911,-43.29865881198344
presynaptic,0.37,-40.96875,-43.298659016012344
presynaptic,0.38,-40.767857213169634,-43.298659218424305
presynaptic,0.39,-40.44642853627232,-43.298659419231754
presynaptic,0.4,-40.3125,-43.298659618446926
presynaptic,0.41,-39.4821428219866,-43.29865981608201
presynaptic,0.42,-39.3750000703125,-43.29866001214922
presynaptic,0.43,-39.84375,-43.29866020666061
presynaptic,0.44,-40.05803574944196,-43.29866039962804
presynaptic,0.45,-39.0,-43.29866059106338
presynaptic,0.46,-38.94642853627232,-43.298660780978466
presynaptic,0.47,-39.13392864174108,-43.298660969384954
presynaptic,0.48,-39.267857178013394,-43.29866115629438
presynaptic,0.49,-39.28125,-43.298661341718265
presynaptic,0.5,-39.36160710770088,-43.29866152566809
presynaptic,0.51,-39.294642751674075,-43.298661708155144
presynaptic,0.52,-39.013392786830345,-43.298661889190626
presynaptic,0.53,-39.1875,-43.298662068785724
presynaptic,0.54,-39.1875,-43.29866224695157
presynaptic,0.55,-39.2008928219866,-43.298662423699106
presynaptic,0.56,-39.09375,-43.2986625990392
presynaptic,0.57,-39.01339289229912,-43.298662772982716
presynaptic,0.58,-39.0,-43.29866294554047
presynaptic,0.59,-38.86607139341516,-43.29866311672304
presynaptic,0.6,-38.6651785362723,-43.298663286540986
presynaptic,0.61,-38.46428567912945,-43.298663455004856
presynaptic,0.62,-38.625,-43.29866362212512
presynaptic,0.63,-38.812500035156255,-43.298663787912055
presynaptic,0.64,-39.28125,-43.298663952375904
presynaptic,0.65,-39.50892850111605,-43.2986641155269
presynaptic,0.66,-39.334821393415176,-43.298664277375195
presynaptic,0.67,-39.13392853627232,-43.29866443793077
presynaptic,0.68,-39.1875,-43.29866459720355
presynaptic,0.69,-39.1875,-43.298664755203475
presynaptic,0.7,-38.062499929687455,-43.298664911940385
presynaptic,0.71,-37.848214215401754,-43.29866506742397
presynaptic,0.72,-37.90178574944198,-43.29866522166384
presynaptic,0.73,-38.383928606584824,-43.29866537466964
presynaptic,0.74,-38.73214292745539,-43.29866552645094
presynaptic,0.75,-39.0,-43.298665677017105
presynaptic,0.76,-39.2008928219866,-43.29866582637749
presynaptic,0.77,-39.28125,-43.29866597454146
presynaptic,0.78,-39.3616071077009,-43.298666121518245
presynaptic,0.79,-39.53571425055802,-43.29866626731698
presynaptic,0.8,-39.84375,-43.29866641194672
presynaptic,0.81,-40.27232146372768,-43.29866655541654
presynaptic,0.82,-40.56696432087055,-43.29866669773542
presynaptic,0.83,-40.9553571780134,-43.298666838912204
presynaptic,0.84,-41.250000070312545,-43.29866697895567
presynaptic,0.85,-41.53125,-43.29866711787465
presynaptic,0.86,-40.6875,-43.298667255677834
presynaptic,0.87,-40.928571393415176,-43.29866739237379
presynaptic,0.88,-41.53125,-43.298667527971055
presynaptic,0.89,-41.78571432087055,-43.29866766247819
presynaptic,0.9,-42.1071428219866,-43.29866779590361
presynaptic,0.91,-42.46875,-43.29866792825565
presynaptic,0.92,-42.5758928922991,-43.298668059542585
presynaptic,0.93,-42.65625,-43.298668189772705
presynaptic,0.94,-42.616071393415154,-43.298668318954206
presynaptic,0.95,-42.64285707254461,-43.29866844709512
presynaptic,0.96,-42.65625,-43.29866857420352
presynaptic,0.97,-42.4821428219866,-43.298668700287436
presynaptic,0.98,-42.56250003515627,-43.298668825354795
presynaptic,0.99,-42.83035710770088,-43.29866894941343
presynaptic,1.0,-42.65625,-43.29866907247115
presynaptic,1.01,-42.52232808984375,-43.29866919453574
presynaptic,1.02,-42.28125,-43.2986693156149
presynaptic,1.03,-42.28125,-43.298669435716214
presynaptic,1.04,-42.267850481584816,-43.29866955484726
presynaptic,1.05,-42.09375,-43.298669673015596
presynaptic,1.06,-42.09375,-43.2986697902287
presynaptic,1.07,-42.080337159040184,-43.29866990649391
presynaptic,1.08,-42.24107808984375,-43.29867002181859
presynaptic,1.09,-42.4285647672991,-43.29867013621008
presynaptic,1.1,-42.2410847511161,-43.298670249675595
presynaptic,1.11,-42.29464951841519,-43.298670362222296
presynaptic,1.12,-42.093743338727684,-43.2986704738573
presynaptic,1.13,-42.01338619587056,-43.29867058458774
presynaptic,1.14,-41.34375,-43.29867069442061
presynaptic,1.15,-41.10267191015627,-43.29867080336284
