mode,control_gain,onset_failed,n_pre_intervals,mean_pre_frequency_hz,mean_pre_driver_frequency_hz,n_post_intervals,mean_post_frequency_hz,anchor_gain,anchor_target_alpha,anchor_target_g,si1_excitatory_g,compensated_direct_post_base_g,calibration_note
postsynaptic,0.0,true,0,0.0,0.0,0,0.0,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,0.5,false,9,0.04544239454705812,4.205558319001297,0,0.0,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,0.75,false,9,0.048908121590902354,4.206098456817603,0,0.0,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,0.8650793650793651,false,9,0.049398336889106956,4.202638450287259,0,0.0,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,0.9801587301587301,false,9,0.05035768998460258,4.20558482348051,0,0.0,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,1.0952380952380953,false,9,0.0529814347394327,4.208710100934038,0,0.0,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,1.2103174603174602,false,9,0.056912106879063576,4.203972061797999,0,0.0,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,1.3253968253968254,false,9,0.06174885628632307,4.205699359586806,1,0.08036017848549687,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,1.4404761904761905,false,9,0.07476203324581418,4.20345258510469,2,0.09066159379180813,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,1.5555555555555556,false,9,0.0800195525942026,4.2085040331438,3,0.10150879618926129,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,1.6706349206349207,false,9,0.08846223694136908,4.196991559400969,3,0.10416812378657142,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,1.7857142857142858,false,9,0.08874833923218908,4.206048851851256,3,0.10452432069019553,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,1.9007936507936507,false,9,0.09689596597369472,4.203296670047108,4,0.10840163288806043,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,2.015873015873016,false,9,0.1086964893048156,4.2009756045904565,4,0.10826379841072048,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,2.130952380952381,false,9,0.11173416028639435,4.21023930261089,4,0.110581281637227,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,2.246031746031746,false,9,0.11498989525330547,4.214551558884038,3,0.11751452675609504,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,2.361111111111111,false,9,0.1147334807520653,4.211383622189675,4,0.11133624140747395,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
postsynaptic,2.4761904761904763,false,9,0.10086621028328807,3.837621458653003,4,0.11314784104977532,3.0,NaN,0.002,0.002,0.0005,base g compensated so saturated anchor gain gives target effective g
